full_name,name,description,num_developers,total_commits,languages,primary_language,first_commit_date,last_commit_date,license_spdx,license_name,is_osi_approved,topics,has_contributing,has_code_of_conduct,has_governance,has_readme,has_issue_template,has_pr_template,health_percentage,stars,watchers,forks,cloud_detected,cloud_signals,ai_ml_detected,ai_ml_signals,has_ci_cd,ci_cd_workflows,deployments_count,created_at,updated_at,pushed_at,size_kb
CivicTechWR/WRVotesPlaceholder,WRVotesPlaceholder,Waterloo Region Votes placehold site for in-between elections,16,2142,Python=47857;Shell=2882;Ruby=1296,Python,2018-03-28T23:45:51+00:00,2026-06-03T22:23:14+00:00,MIT,MIT License,True,,True,True,False,True,False,True,100,0,0,0,False,,False,,True,Deploy Jekyll and Worksheets together;Generate WRV Worksheets;pages-build-deployment,28,2025-10-15T23:52:47+00:00,2026-06-03T22:23:18+00:00,2026-06-03T22:23:15+00:00,24137
CivicTechWR/accessible-housing-portal,accessible-housing-portal,"Accessible Housing Portal is CivicTechWR's affordable housing platform, designed to centre the needs of affordable housing seekers. It provides a transparent, accessible entry point for finding listings—addressing gaps in existing platforms that often omit key information or discourage applications from the communities they should serve.",42,3483,TypeScript=637371;CSS=6222;JavaScript=2909;Dockerfile=609,TypeScript,2019-07-18T07:35:34+00:00,2026-05-27T17:20:04+00:00,,,False,,True,True,False,True,False,False,62,1,0,1,True,language:Dockerfile;file:Dockerfile;file:docker-compose.yml,False,,True,Copilot code review;CI;Copilot cloud agent,935,2026-02-05T00:01:27+00:00,2026-05-27T17:20:28+00:00,2026-06-02T21:11:42+00:00,62257
CivicTechWR/connectedkw,connectedkw,Volunteer-run community guide curating local events and resources for Waterloo Region residents,18,414,HTML=639688;JavaScript=346632;CSS=6940;Python=1920,HTML,2022-11-23T21:15:56+00:00,2025-12-10T05:56:11+00:00,,,False,,False,False,False,False,False,False,0,4,3,2,False,,False,,True,Import the City of Cambridge events on a CRON Schedule;Import Eventbrite events on a CRON Schedule;Import Explore Waterloo events on a CRON Schedule;Import the City of Kitchener events on a CRON Schedule;Import the RoW Museums events on a CRON Schedule;Import the City of Waterloo events on a CRON Schedule;Import WPL events on a CRON Schedule,120,2024-11-07T00:47:00+00:00,2025-12-10T05:57:26+00:00,2025-12-10T05:57:22+00:00,33984
CivicTechWR/go-train-group-pass,go-train-group-pass,GO Train weekday group pass coordination app as an alternative to WhatsApp-based coordination,6,108,TypeScript=183526;JavaScript=897;Shell=38,TypeScript,2025-10-07T20:48:17+00:00,2026-01-28T22:07:58+00:00,,,False,,True,True,False,True,False,True,87,4,0,1,False,,False,,True,Accessibility Audit;Lint and Type Check;Reusable Gitleaks Scan;Security Audit;Copilot coding agent;Dependabot Updates;CodeQL,0,2025-10-12T13:40:57+00:00,2026-04-14T02:57:38+00:00,2026-05-29T13:39:27+00:00,2128
CivicTechWR/project-pech,project-pech,Community platform tracking the Plan to End Chronic Homelessness (PECH) in Waterloo Region by 2030,6,186,TypeScript=707687;CSS=4512;JavaScript=1196,TypeScript,2025-07-03T21:16:41+00:00,2025-12-15T16:42:13+00:00,,,False,,True,True,False,True,False,True,87,0,0,5,False,,False,,False,,203,2025-07-03T21:16:41+00:00,2025-12-15T16:42:18+00:00,2025-12-15T16:46:26+00:00,2266
CodeForAfrica/Dominion.AFRICA,Dominion.AFRICA,Dominion gives journalist and civic activists useful facts and data about land ownership in Africa. Accessible at https://dominion.africa,7,574,JavaScript=208019;Dockerfile=1464,JavaScript,2019-07-17T14:10:48+00:00,2025-09-17T08:44:36+00:00,GPL-3.0,GNU General Public License v3.0,True,africa;dominion;land-ownership;journalist;civic-activists;single-page-app;reactjs;land-data;data-driven-journalism;nextjs,False,False,False,True,False,True,50,2,9,0,True,language:Dockerfile;file:Dockerfile,False,,True,main;CodeQL,231,2019-07-17T14:10:47+00:00,2025-09-17T08:44:41+00:00,2025-09-17T08:44:38+00:00,28809
CodeForAfrica/GenderGap.AFRICA,GenderGap.AFRICA,GenderGap.AFRICA is a tool designed to help users calculate the gender pay gap in any African country. Accessible at https://gendergap.africa/,11,254,JavaScript=48496;HTML=34497;SCSS=34337,JavaScript,2017-03-21T14:49:03+00:00,2025-09-01T23:22:13+00:00,GPL-3.0,GNU General Public License v3.0,True,gender-equality;gender-gap;equal-pay;africa;storylab;calculator;kenya;nigeria;tanzania;south-africa,False,False,False,True,True,True,50,9,17,4,False,,False,,True,CodeQL;pages-build-deployment,126,2017-03-21T14:49:03+00:00,2025-09-01T23:22:46+00:00,2025-09-01T23:53:36+00:00,3267
CodeForAfrica/PromiseTracker,PromiseTracker,Promise Tracker is a tool designed to help journalists and civil society watchdogs track campaign/promises/pledges by government officials. Accessible at https://promisetracker.dev.codeforafrica.org/,4,445,TypeScript=919055;JavaScript=7244;Shell=3382;Dockerfile=2346;SCSS=197,TypeScript,2025-08-12T11:13:07+00:00,2026-05-06T08:05:33+00:00,,,False,promise-tracker;africa;politicians;promises;elections;tracker;trello;graphql;reactjs;politics;development;economics;pesacheck;fact-checking;misinfo;disinfo;misinformation;disinformation;kenya,False,False,False,True,False,True,37,1,3,0,True,language:Dockerfile;file:Dockerfile;file:docker-compose.yml,False,,True,Claude Code;Promise Tracker | Deploy | Dev;Dependabot Updates;CodeQL,2201,2019-09-10T08:46:27+00:00,2026-05-06T08:05:37+00:00,2026-05-06T08:05:35+00:00,28776
CodeForAfrica/academy.AFRICA,academy.AFRICA,Learn digital and data skills for social impact,3,702,PHP=625027;SCSS=232260;CSS=80833;JavaScript=21611;Shell=1198;Dockerfile=698,PHP,2023-10-12T14:05:56+00:00,2026-03-18T07:53:13+00:00,,,False,civic-tech;mooc;wordpress,False,False,False,True,False,True,37,0,1,0,True,language:Dockerfile;file:Dockerfile;file:docker-compose.yml,False,,True,Deploy to WP Engine;Dependabot Updates,0,2023-10-11T11:40:50+00:00,2026-03-18T07:53:29+00:00,2026-03-18T07:53:25+00:00,5499
CodeForAfrica/actNOW,actNOW,A public engagement toolkit that enables a media house or civil society organisation to easily set up channels for engagement.,5,2117,Python=107261;HTML=4846;Dockerfile=3334;Shell=934;Makefile=609,Python,2021-04-19T13:49:32+00:00,2026-05-26T11:56:53+00:00,GPL-3.0,GNU General Public License v3.0,True,,False,False,False,True,False,True,50,4,5,1,True,language:Dockerfile;file:Dockerfile;file:docker-compose.yml,False,,True,Dokku CD;CI;Dependabot Updates;Dependency Graph;CodeQL,0,2021-04-19T13:49:31+00:00,2026-05-26T11:56:58+00:00,2026-05-26T11:56:55+00:00,1675
